Newdate,Value,LON,LAT,PRESsfc,TMP2m_a,TMAX2m_g,TMIN2m_g,DSWRFsfc_a,DSWRFavesfc_c,DSWRFavesfc_f,DUVBsfc_c,DUVBsfc_f,Tdiff_a,RH2m_a,DPT2m_a,SPFH2m_a,QMAX2m_g,QMIN2m_g,PRATEsfc_c,APCPsfc_b,APCPsfc_e,CRAINsfc_a,CRAINavesfc_c,CRAINavesfc_f,VBetrag850,VBetrag30_0mb,VBetrag10m_a,Omega500,Omega700,Omega850,Omega900,Omega950,HPBLsfc_a,WindChill_a,VentIndex_a_1,VentIndex_a_2,VentIndex_a_3,FogStabIndex,CAPEsfc,CAPE180_0mb,CINsfc,CIN180_0mb,no4LFTXsfc,LFTXsfc,PLI30_0mb,KOindex,Sigma700,CPRATsfc_c,ACPCPsfc_b,ACPCPsfc_e,TCDCccll_a,SFEXCsfc_c,AdvT850,AdvT30_0mb,Thetae850,T850,SHTFLsfc_a,SHTFLavesfc_c,SHTFLavesfc_f,GFLUXsfc_a,GFLUXavesfc_c,GFLUXavesfc_f,TCDCclm_c,TCDCblcll_c,TCDCclm_f,TCDCblcll_f
2015-02-24 06:00:00,51.0,88,22,1012.0,306.85,307.2,301.1,880,891,576,15.34,9.12,5.18,26.3,285.1,8.62,9.15,7.98,0,0.0,0.0,0,0,0,2.63,1.82,1.83,0.4,8.5,-18.4,-21.5,-16.3,2796,49.09,5103,5094,7359,80.2,0,97,0.0,-182.3,0.1,2.4,2.6,-12.04,1.879,0,0.0,0.0,0,0,0.015,-0.051,331.0,289.2,323,315,163,-143,-158,-87,0,0,0,0
2015-02-24 12:00:00,61.0,88,22,1009.06,298.81,300.8,294.1,0,1,0,0.01,0.0,-0.79,48.6,287.2,9.95,13.71,9.03,0,0.0,0.0,0,0,0,1.99,7.05,4.43,-15.5,-2.8,26.1,14.8,1.1,261,33.35,1156,1841,520,41.1,0,0,0.0,0.0,0.9,1.6,1.2,-10.8,1.784,0,0.0,0.0,0,0,0.045,-1.375,329.8,290.4,-54,-59,-35,36,30,48,0,0,45,0
2015-02-24 18:00:00,83.0,88,22,1011.62,293.52,293.7,292.5,0,0,0,0.0,0.0,-0.45,93.1,292.3,13.79,14.06,13.33,0,0.0,0.0,0,0,0,1.35,4.11,2.58,4.1,-15.3,-19.7,-30.6,-26.4,199,31.68,513,819,269,10.2,88,127,-397.2,-355.1,-1.1,-0.6,-1.1,-10.99,1.841,0,0.0,0.0,0,0,-0.016,0.098,327.1,290.0,-18,-14,-16,52,55,47,13,0,5,0
2015-02-26 06:00:00,53.0,88,22,1008.05,308.1,308.6,301.4,888,899,582,15.61,9.3,3.39,25.5,285.62,8.98,10.58,8.51,0,0.0,0.0,0,0,0,4.53,4.16,4.05,27.7,14.3,-16.0,-18.5,-16.6,2685,44.48,10866,11178,12174,82.1,0,0,0.0,0.0,0.5,0.3,0.5,-11.35,1.803,0,0.0,0.0,0,0,0.028,-0.161,330.2,290.7,340,345,171,-124,-128,-78,0,0,0,0
2015-02-26 18:00:00,42.0,88,22,1007.46,295.13,295.6,293.0,0,0,0,0.0,0.0,-0.54,84.5,292.4,13.89,14.02,13.25,0,0.0,0.0,0,0,0,4.19,5.04,3.44,-14.0,15.1,-7.5,2.3,6.8,319,31.26,1098,1608,1337,14.3,321,340,-218.3,-200.5,-0.6,-0.4,-0.6,-7.8,1.873,0,0.0,0.0,0,0,-0.051,0.238,325.2,291.8,-30,-26,-26,44,47,44,0,0,0,0
2015-02-28 00:00:00,34.0,88,22,1007.6,293.31,307.0,291.6,44,7,464,0.08,7.28,-0.83,93.0,292.2,13.63,13.8,9.19,0,0.0,0.0,0,0,0,8.92,3.51,1.76,-19.1,7.6,-15.4,-21.2,-11.2,129,34.2,227,453,1150,9.6,196,254,-247.8,-233.1,-0.2,0.3,-0.3,-6.99,1.823,0,0.0,0.0,0,0,0.239,0.158,325.5,291.9,-12,-7,162,22,39,-56,0,0,1,0
2015-02-28 06:00:00,40.0,88,22,1009.06,307.52,308.3,302.0,886,897,580,15.68,9.34,4.64,25.6,285.24,8.73,9.78,8.19,0,0.0,0.0,0,0,0,4.36,2.17,1.92,-31.6,-17.2,-33.2,-30.7,-22.5,2690,49.48,5165,5843,11718,80.0,21,14,-48.8,-57.3,3.8,3.4,3.7,-5.04,2.09,0,0.0,0.0,0,0,0.08900000000000001,-0.08199999999999999,328.5,290.9,337,340,172,-127,-132,-82,6,0,3,0
2015-02-28 12:00:00,37.0,88,22,1006.18,299.62,301.6,295.3,0,1,0,0.01,0.0,-0.66,49.1,288.14,10.57,14.34,9.41,0,0.0,0.0,0,0,0,2.65,6.85,5.27,-18.6,24.8,-17.7,-40.6,-38.7,357,32.82,1881,2445,947,39.8,8,8,-45.2,-44.5,3.4,3.5,3.4,-6.55,2.031,0,0.0,0.0,0,0,0.031,-1.746,328.8,291.9,-58,-60,-36,34,29,44,0,0,0,0
2015-02-28 18:00:00,31.0,88,22,1010.14,294.87,295.2,293.1,0,0,0,0.0,0.0,-0.54,86.9,292.6,14.02,14.05,13.43,0,0.0,0.0,0,0,0,3.0,5.8,2.52,8.8,-12.3,-24.6,-15.4,-0.1,282,33.33,712,1636,847,13.0,219,245,-258.9,-240.5,0.8,1.1,0.8,-6.54,2.073,0,0.0,0.0,0,0,0.008,0.329,326.6,291.4,-20,-20,-21,48,49,46,0,0,0,0
2015-03-02 12:00:00,37.0,88,22,1008.34,301.1,302.5,296.1,0,1,0,0.02,0.0,-0.82,33.4,283.6,7.84,11.21,7.47,0,0.0,0.0,0,0,0,7.34,6.99,5.02,-0.2,-16.6,-129.9,-115.6,-69.2,577,34.89,2895,4031,4236,57.6,0,0,0.0,0.0,2.7,4.2,3.8,-0.92,1.793,0,0.0,0.0,0,0,-0.362,-0.643,328.8,291.7,-74,-75,-50,19,16,30,13,0,9,0
